feature,adf_stat,p_value,stationnaire
Close_SMA20_ratio,-13.402639162305015,4.534425154964046e-25,True
EMA_ratio,-11.822985404456894,8.329394480394701e-22,True
MACD_slope,-20.848283091516933,0.0,True
RSI_14,-12.217075100105546,1.1292147635003233e-22,True
return_12min,-13.079008193924567,1.8878182942821955e-24,True
return_60min,-8.34259885208764,3.146677638095516e-13,True
Spread_Brent_WTI,-2.104236347434277,0.24281456060374718,False
Corr_Brent_USD_30,-10.185572793833,6.522339056024085e-18,True
ADX_proxy,-12.171924433620168,1.414347874614255e-22,True
volatility_20min,-8.848106753479298,1.6001450842728826e-14,True
session_europe,-3.676415043926348,0.0044573969639006275,True
session_us,-3.3683054665720964,0.012087971760444027,True
hour_sin,-1.7616197170123733,0.39967593512488964,False
hour_cos,-1.6443145339611076,0.46000722393698573,False
